ticker,trading_date,open,high,low,close,volume
VCB,2009-06-30T00:00,13754.85,13754.85,13754.85,13754.85,294070.0
VCB,2009-07-01T00:00,14442.59,14442.59,13640.23,13869.47,6248390.0
VCB,2009-07-02T00:00,13640.23,13754.85,13181.73,13296.35,1515670.0
VCB,2009-07-03T00:00,12952.48,13067.11,12837.86,12837.86,899720.0
VCB,2009-07-06T00:00,12837.86,13410.98,12837.86,13410.98,1571740.0
VCB,2009-07-07T00:00,13181.73,13296.35,12952.48,12952.48,1115420.0
VCB,2009-07-08T00:00,12608.61,12837.86,12493.99,12723.24,763030.0
VCB,2009-07-09T00:00,12493.99,12837.86,12264.74,12379.36,982430.0
VCB,2009-07-10T00:00,12150.12,12264.74,11806.25,11806.25,1973450.0
VCB,2009-07-13T00:00,11462.37,11806.25,11233.13,11233.13,812260.0
VCB,2009-07-14T00:00,11278.98,11278.98,10889.26,10958.03,847840.0
VCB,2009-07-15T00:00,11003.88,11416.52,11003.88,11233.13,807250.0
VCB,2009-07-16T00:00,11462.37,11462.37,11324.83,11416.52,638990.0
VCB,2009-07-17T00:00,11347.75,11393.6,11187.28,11256.05,311000.0
VCB,2009-07-20T00:00,10797.56,10843.41,10705.86,10728.78,869220.0
VCB,2009-07-21T00:00,10820.48,10935.11,10728.78,10751.71,483900.0
VCB,2009-07-22T00:00,10889.26,10912.18,10820.48,10889.26,411780.0
VCB,2009-07-23T00:00,10774.63,11416.52,10774.63,11416.52,929090.0
VCB,2009-07-24T00:00,11920.87,11920.87,11920.87,11920.87,624760.0
VCB,2009-07-27T00:00,12493.99,12493.99,12035.49,12493.99,1535460.0
VCB,2009-07-28T00:00,12493.99,12837.86,12035.49,12150.12,1192800.0
VCB,2009-07-29T00:00,12264.74,12379.36,11806.25,12035.49,924570.0
VCB,2009-07-30T00:00,11920.87,12035.49,11577.0,11806.25,606660.0
VCB,2009-07-31T00:00,12264.74,12379.36,12150.12,12379.36,1125450.0
VCB,2009-08-03T00:00,12952.48,12952.48,12608.61,12952.48,2707260.0
VCB,2009-08-04T00:00,13525.6,13525.6,13067.11,13410.98,1869220.0
VCB,2009-08-05T00:00,13296.35,13525.6,13067.11,13296.35,1654270.0
VCB,2009-08-06T00:00,13296.35,13525.6,12952.48,13067.11,1656340.0
VCB,2009-08-07T00:00,12952.48,13181.73,12952.48,12952.48,1017420.0
VCB,2009-08-10T00:00,13067.11,13296.35,12952.48,13181.73,689300.0
VCB,2009-08-11T00:00,13067.11,13296.35,12952.48,13067.11,1207840.0
VCB,2009-08-12T00:00,13181.73,13181.73,12952.48,12952.48,996150.0
VCB,2009-08-13T00:00,13181.73,13181.73,12952.48,13067.11,896790.0
